,V1,V2,IngreNo,IngreSeason,IngreCal,IngreSubCatNo
344,柳葉魚,29,FD0039,3,1.709090909,F
345,多利魚,30,FD0040,12,1.009666667,F
346,鯷魚,91,FD0041,12,2.007395833,F
347,比目魚,65,FD0042,12,1.210584046,F
348,烏魚,20,FD0043,6,0.752559322,F
349,鱔魚,14,FD0044,12,0.89,F
350,鯊魚,29,FD0045,12,1.404564181,F
351,鰹魚,230,FD0046,12,1.009666667,F
352,油魚,22,FD0047,12,1.009666667,F
353,竹莢魚,8,FD0048,12,1.009666667,F
354,小吉魚,2,FD0049,12,1.009666667,F
355,赤宗魚,3,FD0050,12,1.15942029,F
356,紅尾冬魚,1,FD0051,12,1.009666667,F
357,紅甘魚,6,FD0052,12,1.009666667,F
358,鰤魚,3,FD0053,12,1.665,F
359,馬頭魚,9,FD0054,2,1.151880342,F
360,中華鱘,1,FD0055,12,1.376666667,F
361,鱘龍魚,3,FD0056,12,1.009666667,F
362,四破魚,3,FD0057,2,1.009666667,F
363,目孔魚,2,FD0058,12,1.009666667,F
364,黃鰭鯛,2,FD0060,12,1.052631579,F
365,水針魚,1,FD0061,12,1.009666667,F
366,象魚,1,FD0062,12,1.009666667,F
367,土虱魚,4,FD0063,12,1.184545455,F
368,黑喉,1,FD0064,12,1.009666667,F
369,紅鱸,1,FD0065,12,1.17,F
370,翻車魚,10,FD0066,12,1.009666667,F
371,皮刀魚,1,FD0067,6,1.009666667,F
372,鱒魚,3,FD0068,12,1.296428571,F
373,冰魚,8,FD0070,12,1.009666667,F
374,黑加網,NA,FD0071,12,1.009666667,F
375,金眼鯛,2,FD0072,12,1.176470588,F
376,花魚,2,FD0073,12,1.009666667,F
377,燕尾斑,1,FD0074,12,1.009666667,F
378,青鱗魚,1,FD0075,12,1.18,F
379,燕魚,1,FD0076,12,1.009666667,F
380,竹筴魚,8,FD0077,12,1.009666667,F
381,殼魚,1,FD0079,12,1.009666667,F
382,黃雞魚,3,FD0080,12,1.009666667,F
383,青衣魚,2,FD0081,12,1.009666667,F
384,飛刀,2,FD0082,12,1.009666667,F
385,伍仔魚,13,FD0083,12,1.009666667,F
386,鯪魚,1,FD0084,12,2.79962963,F
387,金梭魚,1,FD0085,12,1.009666667,F
388,鬼頭刀,9,FD0086,2,1.009666667,F
389,紅槽魚,1,FD0087,12,1.009666667,F
390,豆仔魚,4,FD0088,12,1.009666667,F
391,鱒鮭,1,FD0089,12,1.009666667,F
392,寶石魚,3,FD0090,12,1.009666667,F
393,龍利魚,3,FD0091,12,1.009666667,F
394,脆皖魚,2,FD0092,12,1.009666667,F
395,海泥鰍,1,FD0093,12,1.009666667,F
396,泥鰍,1,FD0094,8,1.09978022,F
397,劍旗魚,1,FD0095,12,1.009666667,F
398,紅條魚,5,FD0096,12,1.009666667,F
399,三角仔,1,FD0097,12,1.009666667,F
400,蘭勃舵魚,2,FD0098,12,1.009666667,F
401,青嘴魚,2,FD0099,4,1.009666667,F
402,青星九刺鮨,2,FD0100,12,1.009666667,F
403,鰈魚,3,FD0101,12,1.04,F
404,海鱺,14,FD0102,6,1.009666667,F
405,甘仔魚,1,FD0103,12,1.009666667,F
406,飛魚,1,FD0104,4,0.9638554217,F
407,青魚,1,FD0105,12,1.34531746,F
408,紅目鰱,7,FD0106,12,2.580645161,F
409,鯰魚,1,FD0107,12,1.26445055,F
410,馬口魚,1,FD0108,12,1,F
411,魚肚,38,FE0001,12,1.009666667,F
412,魚腸,1,FE0002,12,1.009666667,F
413,魚頭,17,FE0003,12,1.009666667,F
414,魚骨,13,FE0004,12,1.009666667,F
415,魚下巴,18,FE0005,12,1.009666667,F
416,魚尾巴,1,FE0006,12,1.009666667,F
417,魚皮,43,FE0007,12,1.009666667,F
418,明太子,49,FE0008,12,3.9,F
419,魚卵,109,FE0009,12,1.735,F
420,鮭魚卵,33,FE0010,12,3.9,F
421,生魚片,18,FE0011,12,1.009666667,F
422,魚湯,20,FE0012,12,1.208888889,F
423,魚菲力,2,FE0013,12,1.009666667,F
424,松阪魚,1,FE0014,12,1.009666667,F
425,魚柳,6,FE0015,12,2.32,F
426,魚雜,3,FE0016,12,1.009666667,F
427,龍腸,1,FE0017,12,1.009666667,F
428,魚板,165,FF0001,12,0.9115217391,F
429,魚露,925,FF0002,12,0.48,F
430,魚漿,142,FF0003,12,0.9115217391,F
431,章魚花枝漿,1,FF0004,12,2.3,F
432,甜不辣,92,FF0005,12,2.01,F
433,小魚乾,120,FF0006,12,4.425,F
434,魚丸,121,FF0007,12,2.3,F
435,鹹魚,26,FF0008,12,1.61,F
436,魚鬆,33,FF0009,12,3,F
437,魚餃,74,FF0010,12,2.73,F
438,魚蛋,22,FF0011,12,0.76,F
439,一夜干,30,FF0012,12,3.03,F
440,魚乾,7,FF0013,12,5.5,F
441,蟹肉棒,221,FF0014,12,1.141666667,F
442,竹輪,41,FF0015,12,1.36,F
443,黑輪,19,FF0016,12,1.745454546,F
444,鳴戶卷,6,FF0017,12,1.745454546,F
445,沙魚煙,1,FF0018,12,1.745454546,F
446,柴魚粉,881,FF0019,12,3.678181818,F
447,魚高湯,197,FF0020,12,0.5394190871,F
448,烏魚子,39,FF0021,12,3.630263158,F
449,鱈寶,5,FF0022,12,0.52,F
450,魚翅,26,FF0023,12,3.37,F
451,魚餅,2,FF0024,12,2.17,F
452,魚酥,9,FF0025,12,5.8,F
453,醃魚,NA,FF0026,12,7.5,F
454,魚油,5,FF0027,12,7,F
455,魚粉,9,FF0028,12,2.28,F
456,魷魚絲,16,FF0029,12,3.190488506,F
457,魚唇,1,FF0030,12,1.009666667,F
458,魚滑,2,FF0031,12,1.009666667,F
459,魚醬,18,FF0032,12,2.69,F
460,小黃瓜,1958,GA0001,12,0.1536676983,G
461,黃瓜,190,GA0002,3,0.1461681796,G
462,黃瓜皮,1,GA0003,12,0.1461681796,G
463,絲瓜,332,GA0004,5,0.2565943319,G
464,稜角絲瓜,18,GA0005,12,0.18,G
465,冬瓜皮,2,GA0007,12,0.13,G
466,苦瓜,460,GA0009,5,0.5965587496,G
467,南瓜,1322,GA0010,7,0.35,G
468,日本南瓜,8,GA0012,12,0.35,G
469,菊花南瓜,1,GA0013,12,0.35,G
470,西葫蘆,9,GA0014,12,0.2122859589,G
471,葫蘆,4,GA0015,12,0.1868199234,G
472,瓠瓜,50,GA0016,12,0.1827777778,G
473,節瓜,158,GA0017,12,0.132,G
474,越瓜,2,GA0018,8,0.18,G
475,筍瓜,NA,GA0019,12,0.32,G
476,佛手瓜,14,GA0020,8,0.20375,G
477,酪梨,148,GA0021,4,0.544973545,G
478,蛇瓜,6,GA0022,12,0.1633333333,G
479,青木瓜,116,GA0023,12,0.27,G
480,碟瓜,1,GA0024,12,0.13,G
481,番茄,332,GA0025,4,0.1656869184,G
482,秋葵,194,GA0026,5,0.4,G
483,茄子,557,GA0027,3,0.5488276942,G
484,水茄,4,GA0028,12,0.5488276942,G
485,泰式小圓茄,1,GA0029,12,0.7656869184,G
486,人參果,NA,GA0030,6,0.6464247517,G
487,番椒,NA,GA0031,8,0.93,G
488,青龍辣椒,10,GA0032,12,1,G
489,青椒,929,GA0033,12,0.8481598459,G
490,甜椒,2402,GA0034,4,0.8481598459,G
491,角椒,3,GA0035,12,0.93,G
492,米椒,25,GA0036,12,0.93,G
493,翡翠椒,5,GA0037,12,0.93,G
494,水果,265,GB0001,12,0.93,G
495,芒果,590,GB0002,4,0.5879631282,G
496,芭樂,55,GB0003,12,0.398354059,G
497,梨子,161,GB0004,7,0.5833613273,G
498,紅梨,1,GB0005,12,0.5833613273,G
499,鴨梨,1,GB0006,12,0.4622086721,G
500,柿子,21,GB0007,4,0.7184494642,G
501,柚子,164,GB0008,7,0.397497528,G
502,香柚皮,3,GB0009,12,0.397497528,G
503,葡萄,138,GB0010,10,0.5736852362,G
