V2.y,V1
瓠瓜,泡打粉
節瓜,泡打粉
越瓜,泡打粉
筍瓜,泡打粉
佛手瓜,泡打粉
酪梨,泡打粉
蛇瓜,泡打粉
青木瓜,泡打粉
碟瓜,泡打粉
番茄,泡打粉
秋葵,泡打粉
茄子,泡打粉
水茄,泡打粉
泰式小圓茄,泡打粉
人參果,泡打粉
番椒,泡打粉
青龍辣椒,泡打粉
甜椒,泡打粉
角椒,泡打粉
米椒,泡打粉
翡翠椒,泡打粉
雞肉,烤箱溫度
雞丁,烤箱溫度
雞柳,烤箱溫度
雞絞肉,烤箱溫度
雞蓉,烤箱溫度
雞肉絲,烤箱溫度
雞胸肉,烤箱溫度
雞里肌肉,烤箱溫度
全雞,烤箱溫度
半雞,烤箱溫度
放山雞,烤箱溫度
珠雞,烤箱溫度
水雞,烤箱溫度
春雞,烤箱溫度
烏骨雞肉,烤箱溫度
雞腳,烤箱溫度
雞腿,烤箱溫度
雞腿肉,烤箱溫度
雞腿排,烤箱溫度
棒棒腿,烤箱溫度
雞翅,烤箱溫度
雞屁股,烤箱溫度
雞皮,烤箱溫度
小黃瓜,煉乳
黃瓜,煉乳
黃瓜皮,煉乳
絲瓜,煉乳
稜角絲瓜,煉乳
冬瓜,煉乳
冬瓜皮,煉乳
苦瓜,煉乳
南瓜,煉乳
日本南瓜,煉乳
菊花南瓜,煉乳
西葫蘆,煉乳
葫蘆,煉乳
瓠瓜,煉乳
節瓜,煉乳
越瓜,煉乳
筍瓜,煉乳
佛手瓜,煉乳
酪梨,煉乳
蛇瓜,煉乳
青木瓜,煉乳
碟瓜,煉乳
番茄,煉乳
秋葵,煉乳
茄子,煉乳
水茄,煉乳
泰式小圓茄,煉乳
人參果,煉乳
番椒,煉乳
青龍辣椒,煉乳
甜椒,煉乳
角椒,煉乳
米椒,煉乳
翡翠椒,煉乳
小黃瓜,玉米粒
黃瓜,玉米粒
黃瓜皮,玉米粒
絲瓜,玉米粒
稜角絲瓜,玉米粒
冬瓜,玉米粒
冬瓜皮,玉米粒
苦瓜,玉米粒
南瓜,玉米粒
日本南瓜,玉米粒
菊花南瓜,玉米粒
西葫蘆,玉米粒
葫蘆,玉米粒
瓠瓜,玉米粒
節瓜,玉米粒
越瓜,玉米粒
筍瓜,玉米粒
佛手瓜,玉米粒
酪梨,玉米粒
蛇瓜,玉米粒
青木瓜,玉米粒
碟瓜,玉米粒
番茄,玉米粒
秋葵,玉米粒
茄子,玉米粒
水茄,玉米粒
泰式小圓茄,玉米粒
人參果,玉米粒
番椒,玉米粒
青龍辣椒,玉米粒
甜椒,玉米粒
角椒,玉米粒
米椒,玉米粒
翡翠椒,玉米粒
小黃瓜,甜椒
黃瓜,甜椒
黃瓜皮,甜椒
絲瓜,甜椒
稜角絲瓜,甜椒
冬瓜,甜椒
冬瓜皮,甜椒
苦瓜,甜椒
南瓜,甜椒
日本南瓜,甜椒
菊花南瓜,甜椒
西葫蘆,甜椒
葫蘆,甜椒
瓠瓜,甜椒
節瓜,甜椒
越瓜,甜椒
筍瓜,甜椒
佛手瓜,甜椒
酪梨,甜椒
蛇瓜,甜椒
青木瓜,甜椒
碟瓜,甜椒
番茄,甜椒
秋葵,甜椒
茄子,甜椒
水茄,甜椒
泰式小圓茄,甜椒
人參果,甜椒
番椒,甜椒
青龍辣椒,甜椒
甜椒,甜椒
角椒,甜椒
米椒,甜椒
翡翠椒,甜椒
雞肉,米
雞丁,米
雞柳,米
雞絞肉,米
雞蓉,米
雞肉絲,米
雞胸肉,米
雞里肌肉,米
全雞,米
半雞,米
放山雞,米
珠雞,米
水雞,米
春雞,米
烏骨雞肉,米
雞腳,米
雞腿,米
雞腿肉,米
雞腿排,米
棒棒腿,米
雞翅,米
雞屁股,米
雞皮,米
小黃瓜,米
黃瓜,米
黃瓜皮,米
絲瓜,米
稜角絲瓜,米
冬瓜,米
冬瓜皮,米
苦瓜,米
南瓜,米
日本南瓜,米
菊花南瓜,米
西葫蘆,米
葫蘆,米
瓠瓜,米
節瓜,米
越瓜,米
筍瓜,米
佛手瓜,米
酪梨,米
蛇瓜,米
青木瓜,米
碟瓜,米
番茄,米
秋葵,米
茄子,米
水茄,米
泰式小圓茄,米
人參果,米
番椒,米
青龍辣椒,米
甜椒,米
角椒,米
米椒,米
翡翠椒,米
小黃瓜,糖粉
黃瓜,糖粉
黃瓜皮,糖粉
絲瓜,糖粉
稜角絲瓜,糖粉
冬瓜,糖粉
冬瓜皮,糖粉
苦瓜,糖粉
南瓜,糖粉
日本南瓜,糖粉
菊花南瓜,糖粉
西葫蘆,糖粉
葫蘆,糖粉
瓠瓜,糖粉
節瓜,糖粉
越瓜,糖粉
筍瓜,糖粉
佛手瓜,糖粉
酪梨,糖粉
蛇瓜,糖粉
青木瓜,糖粉
碟瓜,糖粉
番茄,糖粉
秋葵,糖粉
茄子,糖粉
水茄,糖粉
泰式小圓茄,糖粉
人參果,糖粉
番椒,糖粉
青龍辣椒,糖粉
甜椒,糖粉
角椒,糖粉
米椒,糖粉
翡翠椒,糖粉
小黃瓜,紅蔥頭
黃瓜,紅蔥頭
黃瓜皮,紅蔥頭
絲瓜,紅蔥頭
稜角絲瓜,紅蔥頭
冬瓜,紅蔥頭
冬瓜皮,紅蔥頭
苦瓜,紅蔥頭
南瓜,紅蔥頭
日本南瓜,紅蔥頭
菊花南瓜,紅蔥頭
西葫蘆,紅蔥頭
葫蘆,紅蔥頭
瓠瓜,紅蔥頭
節瓜,紅蔥頭
