食材名稱,同義詞
脆梅,蜜梅
香草,乾香草葉
吉利T,吉利Ｔ粉
堅果,碎果仁
韓國大醬,韓國大醬
八寶粥,泰山八寶粥
羽衣甘藍,無頭甘藍
馬鈴薯,馬鈴薯丁
象牙鳳螺,花螺
中華鱘,中國鱘
鴨胗,鴨珍
紅醬,義式紅醬
破布籽,破子
冰糖葫蘆,冰糖葫蘆
蘆筍,野天門冬
茄冬葉,茄冬葉
雜糧,雜糧
紫萵苣,紫萵苣
干貝,乾貝
水茄,黃水
蒜,roast garlic
高湯,牛骨高湯
刺鯧,肉鯽
烏梅汁,清亮農場 有機 Q 梅梅汁
裝飾糖粒,裝飾巧克力糖粒
大白菜,紹菜
裝飾糖粒,裝飾糖片
西洋芹菜,西洋芹菜
金針花,金針
豆漿,五穀豆奶
十穀奶,十穀奶
豬腱子肉,豬腱子肉
苦瓜,白玉苦
桃子,蜜桃
牛絞肉,牛絞肉
蟹肉棒,蟹棒
西瓜子,玉桂西瓜子
可爾必思,可爾必思未稀釋
海鮮塊,海鮮湯塊
紅魚,橫笛鯛
巧克力,入爐朱古力粒
蒜,大蒜
莓果,野櫻莓莓果
雞翅,二節翅
鮮味炒手,康寶鮮味炒手
菩提葉,菩提葉
粥,白粥
辣拌醬,辣拌醬
紹興酒,汾酒
福菜,福菜
起司,芝司樂高鈣起司切條狀
青衣魚,石老魚
甘露子,米累累
切達起司,紅高達起司
胡麻醬,市售胡麻醬
吉利丁　,吉利丁　
紫高麗菜,紫高麗菜
肉丸,IKEA 瑞典肉丸
杏仁,杏仁片
龍眼乾,桂圓乾肉
舞菇,好菇道舞菇
九層塔,乾蘿勒
豬骨,前腿骨
裝飾糖粒,木牌糖飾
壽喜燒醬,榖盛壽喜燒醬
胡蘿蔔,胡籮蔔
羊排,法式羊肩排
四物藥包,四物湯隨身包
台式油飯,台式油飯
茄汁燉豆,茄汁燉豆
汽水,汽水
雞精粉,雞精粉
高梁酒,高粱酒
全雞,仿土雞
醬油膏,美茶釀油膏
冷凍蔬菜,冷凍什錦蔬菜
墨西哥捲餅,墨西哥脆餅
菜乾,菜乾
蔬菜,新鮮雜果
綠金針,綠金針
食鹽,食鹽
和風碳烤粉,風味粉
鯪魚,鯪魚
蘇打餅,竹鹽蘇打餅乾
橘子,圓果金柑
雞蛋,白殼蛋
雞睪丸,雞佛
味精,高鮮味素
蕨粉,蕨粉
橘子,桶柑
使君子,熟軍
梨子,水梨去核果肉
甘拿許,甘拿許
麻辣鍋底,麻辣鍋調理包
花生粉,花生粉
咖哩,咖理粉
巧克磚,巧克力磚
三色蔬菜,冷凍三色蔬菜丁
葛鬱金粉,葛鬱金粉
火腿,義大利風乾生火腿
義大利麵,長麵
花生,花生粒
絲瓜,絲瓜
菜薊,朝鮮薊芯
麻辣鍋底,7-11麻辣鍋
印度香料,masala香料
鹹鴨蛋,鹹淡黃
冬蟲夏草,中華蟲草
蛋黃粉,純蛋黃粉
寶石魚,寶石魚
榮螺肉,罐頭榮螺肉
嫩煎菲力,嫩煎菲力
玉米,粟米
冰淇淋,冰淇淋
檸檬汁,lemonjuice
紐約克牛排,去骨紐約克牛排
義大利麵,天使髮絲意大利面
黃色色素,食用黃色色素
火鍋料,火鍋蛋餃
貝爾佩斯起司,貝爾佩斯起司
法國麵包,迷你法國長棍
沙拉筍塊,沙拉筍
木瓜,木冬瓜
莧菜,雁來紅
烏骨雞肉,烏雞
香腸,鑫鑫腸
紐奧良沾醬,紐奧良沾醬
羊腱,羊前腱
月餅,月餅
咖哩葉,咖哩葉
塔皮,蛋塔皮
辣椒,辣 椒 粉
鹽漬銀鮭,鹽漬銀鮭
九尾草,狗尾草
雲海金龍,雲海金龍
馬鈴薯,澳洲新薯
麥粉,全麥細粉
豬腳,急凍豬手
山槴子,山槴子
蹄膀,豬蹄
鴨梨,鴨嘴梨
西谷米,西谷米
牡蠣,蚵
大醬,韓式黃豆醬
辣椒,辣椒片
黑豆瓣醬,黑豆瓣
巧巴達,巧巴達
蛋油,卵油
蔗糖,Suger
綠豆芽,銀針
筍,筍尖
馬茲拉起司,馬滋瑞拉起司
冰塊,綜合冰磚
果醬,果醬
荸薺,馬蹄細丁
抹茶粉,抹荼粉
蛋液,掃面蛋漿
柴魚粉,木魚花
愛玉子,愛玉籽
蘆筍汁,蘆筍汁
寶石魚,澳洲寶石鱸
桂花露,桂花露
開味小菜,開味小菜
蔘茶包,蔘茶包
果醋,果醋
金桔,金佶
餅皮,全麥皮
人篸茶包,人篸茶包
鮑魚菇,蠔菇
番茄,蕃茄片
核桃,核桃仁
芭樂,無子芭樂
天山華翠菇,天山華翠菇
柳橙,橙
綠色色膏,綠色色膏
酸種,酸種
柚子葉,柚葉
全雞,老母雞
葡萄乾,萄萄乾
雞汁,雞汁濃湯
奶油,溶化牛油
蔬菜湯,蔬菜鮮湯
米,粘米
砂糖,糖包
蛤,粉蟯
空心菜,甕菜
玫瑰花醬,玫瑰花醬
蚌,蚌
桂花,中藥店桂花
蔥,青蔥末
杏鮑菇,刺芹菇
核桃,核果類
便當,便當
臭豆腐,臭豆腐
三色蔬菜,冷凍三色蔬菜
馬頭魚,方頭魚
油醋,油醋
雞睪丸,雞佛仔
莫佐瑞拉起司,英札瑞拉起司
壽喜菇,壽喜菇
熟麥仔,熟麥仔
佛甲草,佛甲草
腸旺,腸旺
烏龍麵,讚岐鳥冬
秋葵,潺茄
豬胛心肉,豬肩胛肉
中東麵餅,印度烤餅
乾蔥頭,干蔥頭
辣椒,大辣椒
南瓜,番瓜
蒟蒻,蒟篛
翅膀豆,四角豆
櫻桃,朱櫻
海藻,裙帶菜
苦瓜,苦 瓜 中型
滷汁,魯包
素菜酥,素菜酥
蔬菜汁,蔬菜榨汁
杜卡,杜卡
大醬,大醬
鵝胸肉,鵝菲力
鵝肝醬,鵝肝醬
荔枝,黑葉仔荔枝
碳酸氫鈉,碳酸氫鈉
青衣魚,青衣寒鯛
龍蒿葉,龍蒿葉
牛肉片,牛肉薄片
蝦皮,蝦苗
脆迪酥,脆迪酥
蹄膀,腳庫
果粒,果粒
冬陰功,冬陰功
食鹽,細鹽
米霖,醇米淋
水果茶,7-11 茶攤手搖風水果茶
奶油,生牛油
脆皖魚,脆皖魚
雪利酒,雪莉酒
蜜餞,洛神蜜餞
萵筍,萵筍
糖漿,玉米糖漿
吉利T,吉利T
芥菜,大芥
水餃皮,水餃皮
烹大師堅魚風味,昆大師
羊肩肉,羊肩肉
砂糖,細沙糖
白斬雞,吃剩的白斬雞
柳橙,澳洲甜橙
飯團,三角形飯糰
蜜豆,市售大蜜豆
腸旺,蒸腸旺
香草精,Vanilla extract
混合菇,綜合菇片
飯團,白飯糰
彩色蔬菜,彩色蔬菜
青醬,巿售青醬
紅蒲鉾,紅蒲鉾
花生,無鹽花生粒
抹茶餡,抹茶餡
日本油菜,鶯菜
豬骨,豬肋骨
果乾,果乾
狗尾草湯包,狗尾草湯包
蘭勃舵魚,蘭勃舵魚
飯團,飯團
澄粉,小麥澱粉
汽水,冷藏雪碧
蚌蘭,蚌蘭
白蘿蔔,白蘿菠
甜椒,獅子椒
醬汁,煎餅醬汁
十三香,十三香
紅油,紅油
水晶粉,水晶粉
藍莓,藍莓
酒釀,甜酒
洋菇,波特菇
麥粉,杜蘭小麥粉
葡萄糖粉,葡萄糖粉
薄燒魚,真空包裝薄燒魚
甘草,甘草皮
鵪鶉蛋,鵪春蛋
醬酒,醬酒
胚芽米,胚芽米
牛排,牛肉排
豬肋排,豬肋排
糖漿,焦糖液
蘿蔓萵苣,籮蔓葉
蔬菜,當令食蔬
辣椒,牛角椒
野韭菜,野韭菜
鯽魚,鯽
鴨胸,鴨排
素香鬆,素鬆
節瓜,長壽瓜
意麵,扁意粉
通心粉,水管通心粉
蘿蔓萵苣,美羅心
杜仲,杜仲
汽水,沙士
豆腐,南豆腐
蝦捲,蝦捲
高筋麵粉,強力粉
鯛魚,鯛
鷹嘴豆,黎豆
鯖魚,鯖
辣椒乾,辣椒干
花茶包,甜姐兒萃麗包
蘆筍,石刁柏
食鹽,salt
蔗糖,黃蔗糖
炒餅,炒餅
墨西哥醬,墨西哥醬
青醬,奶青醬
土瓶蒸,土瓶蒸
印度香料茶,Twining's chai tea bag
加多加多醬,加多加多醬
蝦籽,乾蝦籽
香瓜,嘉玉甜瓜
麵包粉,微甜五穀粉
蝦米,乾蝦米
芥菜,芥子
甜椒,PAPPIKA
元宵,大元宵
薯餅,薯寶
胚芽米飯,胚芽米飯
飛刀,飛刀魚
蘿蔓萵苣,羅蔓生菜
巧克力醬,巧克力醬
冰山捲心,冰山捲心
蛋黃,土雞蛋黃
烤鴨片,烤鴨片
海珊瑚,福草
高湯,高湯包
小黃瓜,小黃瓜
魚板,魚板
蘋果,秋香蘋果
茼蒿,山茼蒿
吞拿魚罐頭,吞拿魚罐頭
梗米,億興米廠短梗米
香蕉,芭蕉
芹菜,芹菜末
香草籽醬,香草籽醬
麻辣鍋底,關東煮麻辣湯底
蔬菜,當季蔬果
馬茲拉起司,碎馬蘇里拉芝士
奶油起司,CREAM CHEESE
雞蛋,有機雞蛋
豬肉片,豬肉片
番椒,番椒
山槴子,梔子
黃豆粉,豆粉
含殼草,蚶殼仔草
蟹肉,蟹管肉
番薯,甘薯
燻雞,燻雞絲
雞卷,雞卷
小卷,生小捲
燉肉丸子,燉肉丸子
覆盆子,冷凍覆盆莓
餅乾,餅乾
鹹鴨蛋,鹹黃
素獅子頭,素獅子頭
麵包粉,無糖五穀粉
木耳,黑木茸
奶油,牛油液
青蘿蔔,青蘿蔔
筊白筍,茭兒菜
酸辣醬,甜雞醬
本菇,占地菇
蜂蜜,龍眼花蜜
豆漿,豆漿
茼蒿,皇帝菜
枸杞,枸己
提拉米蘇慕斯粉,提拉米蘇慕斯粉
烏龍茶,烏龍茶湯
酸豆角,酸豇豆
野莧菜,綠莧
雞肉,去骨雞
混合菇,混合菇
鹽滷石膏,鹽滷
滷汁,濃縮滷漿
豬里肌肉排,里肌肉排
荸薺,烏芋
豬里肌,豬背肌肉
辣椒,辣椒碎
高梁酒,38%金門高粱酒
和風醬,萬家香 日式和風輕食佐醬
鳳梨,金鑽鳳梨
蔬菜,青菜葉
馬茲拉起司,馬茲拉起司
劍旗魚,劍旗魚腹肉
栗粉,栗粉
杏仁,熟北杏
剉冰,挫冰
秋刀魚,秋刀魚
起司,乾酪丁
素丸子,素丸子
烹大師堅魚風味,紅搭西
芋莖,芋橫
桂花香料,乾燥的桂花
裝飾糖粒,彩糖粒
莓果,冷凍綜合莓
蘿蔓萵苣,長葉萵苣
土司,土立方
蚌蘭,紅川七
琴酒,金酒
澎大海,通大海
軟殼蟹,軟殼蟹
莓果,莓果
牛腩,牛前胸肉
明太子調理包,S&B 生風味明太子調理包
芹菜,三葉芹
馬芬堡,馬芬堡
香菇頭,香菇頭
白腰豆,白腰豆
甜椒,彩椒
薤,蔥珠
小白菜,白菜
馬茲拉起司,馬札瑞拉起司
打拋葉,打拋葉
田雞,牛蛙
真姬菇,海鮮菇
素肉,素肉丁
蘆筍,籚筍
?菜,久菜
火腿,金華火腿
蘋果醬,蘋果醬
鬆餅粉,TOMMY'S原味鬆餅粉
魯菜,山東菜
優格,Strawberry yogurt
蟳,處女蟹
豆腐乳,貓乳
核桃,胡 桃
蟳,處女蟳
素肉丸,素肉丸
糖果,彩色硬式糖果
果醋,蘋果醋
羊起司,羊起司
雞肉鬆,雞肉鬆
巧克力,70%黑朱古力
醃菜,乾醃菜
紫蘇,紫蘇葉
豬里肌肉排,豬里肌肉排
番薯,甜薯
肝連肉,肝連
豬肉片,火鍋豬肉片
黑輪,小黑輪
放山雞,跑山雞
蒔蘿,蒔蘿草
波蘿蜜,木波羅
菜豆,圓粉豆
海參,刺參
水,蒸魚水
