,RcpNo,Rcp_ingreCal,RcpName
392,I00394,488.131260388,味噌鯖魚
393,I00395,1066.9748355,鮭魚炒飯
394,I00396,973.552690531,豚肉生薑燒
395,I00397,409.329208058,清蒸鱸魚腹排
396,I00398,905.849025489,白酒蛤蠣
397,I00399,490.031817568,整顆蕃茄湯
398,I00400,287.88651523,照燒鮭魚
399,I00401,116.343137419,迷迭香洋蔥蘑菇
400,I00402,985.309482013,金針花團錦簇燒雞
401,I00403,1223.85068248,年年有魚酸甘甜
402,I00404,865.355226522,柚香鹽麴烤鮭魚
403,I00405,367.711159815,起司豬排捲
404,I00406,0.0,草莓鮮布丁
405,I00407,322.442954145,蔥油蒸魚&甘醬冬瓜
406,I00408,932.417654256,金包銀條富貴來
407,I00409,425.097540335,份
408,I00410,0.0,香煎芭蕉餅DFriedPlantains
409,I00411,351.670378608,蔬菜牛肉粥
410,I00412,683.967388,芋頭起士球
411,I00413,1734.05133269,南瓜塔
412,I00414,266.787935486,自製酸白菜炒肉片
413,I00415,536.722686821,家常白菜魯
414,I00416,784.193495224,沙茶黃金燒豆腐
415,I00417,728.355885223,金銀燉五花肉片
416,I00418,1580.84507043,豆豉虱目魚皮花捲
417,I00419,1812.00580776,蒜泥白肉
418,I00420,2361.04535751,葡萄牙霹靂辣味烤豬五花
419,I00421,85.061052722,健康膳食福氣到
420,I00422,179.713154482,火紅番茄香滑蛋~簡易版
421,I00423,35.005467531,蔥爆里肌肉
422,I00424,104.52680296,草莓蜜糖
423,I00425,266.855207725,焗烤奶油白菜
424,I00426,1189.83822822,紅燒松葉蟹腳
425,I00427,1883.1223275,蜂蜜地瓜鬆糕
426,I00428,801.769607711,韓式雙味炸雞
427,I00429,1914.37877781,不失敗蘋果派
428,I00430,282.160458704,豆豉蒸條石鯛
429,I00431,1115.04684599,番茄蘿蔔燉肉
430,I00432,1265.47187978,南瓜餐包
431,I00433,5645.37103687,南瓜紅豆麵包
432,I00434,373.200699456,花枝漿焗烤香菇
433,I00435,841.9256523,古早味瓜仔肉
434,I00436,4391.8203198,紅酒燉牛肉
435,I00437,749.02812045,淡菜義大利麵
436,I00438,359.500519986,芹香蟹肉炒蛋
437,I00439,359.701641359,奶油蒜香蝦
438,I00440,259.179323037,酥脆杏鮑菇
439,I00441,139.334588721,三杯杏鮑菇
440,I00442,669.84112155,雞絲飯
441,I00443,1134.16125176,魷魚螺肉蒜
442,I00444,548.052979841,蔥油雞絲飯
443,I00445,86.7303356552,牛蒡蔬菜豆腐丸
444,I00446,134.7021833,啤酒雞
445,I00447,884.758329017,叉燒烤鴨腿
446,I00448,663.369339996,地瓜無花果全麥餅乾
447,I00449,206.4,水煮德式香腸
448,I00450,1643.14664778,蔓越莓蘋果派
449,I00451,1854.86296878,墨西哥式甜椒鑲肉
450,I00452,2122.69753134,芋頭牛奶蛋糕捲
451,I00453,615.2937374,吻仔魚蒸蛋
452,I00454,2060.57845208,草莓心熔岩巧克力蛋糕
453,I00455,625.708960882,草莓香烤杏仁蛋白霜
454,I00456,254.347260023,古早味的菜脯蛋
455,I00457,554.045701945,蘿蔔絲煎餅
456,I00458,814.066148121,洋蔥牛肉燒
457,I00459,95.508706951,泰式酸辣中卷
458,I00460,775.649656055,泰式打拋豬
459,I00461,203.142943144,宇治金時豆腐麻糬
460,I00462,969.804678368,地瓜QQ餅
461,I00463,305.641707417,鳳梨醬燒虱目魚皮
462,I00464,443.125899719,橄欖油香蒜烏魚子烤番茄櫛瓜馬鈴薯
463,I00465,1238.97705279,勁辣炸雞
464,I00466,2358.3304846,啤酒五花肉燥
465,I00467,541.438045153,三杯杏鮑菇
466,I00468,356.61916447,奶燒大卷
467,I00469,624.15969465,紫色山藥球
468,I00470,254.977762007,超美味之起司龍蝦沙拉玉子燒
469,I00471,549.201333334,寒天草莓凍
470,I00472,1572.56375836,忌廉蘑菇配多士
471,I00473,61.24284368,牛蒡玉米湯
472,I00474,307.9970808,香酥炸牛蒡
473,I00475,413.709551574,波菜番茄起士烘蛋派
474,I00476,42.075,百香果青木瓜
475,I00477,650.30054868,迷你南瓜麵包
476,I00478,280.97817837,簡易涼拌小黃瓜
477,I00479,855.723184192,淡水蝦捲 ~香酥餡多版~
478,I00480,393.226923759,金沙四季豆
479,I00481,1347.21608679,手工蛋餃
480,I00482,661.016642781,歐姆蛋
481,I00483,1012.18022474,泰式椒麻雞
482,I00484,1103.01776116,義式口水雞
483,I00485,620.594322173,醋溜土豆絲
